ICD10 Code,UCOD_Rec,UCOD_Ent,Contrib_Rec,Contrib_Ent,Match Type,Rule,Cause,RuleName,Occurrences
D733,258,90,675,853,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1876
D734,6,1,23,28,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),58
D735,1142,1087,5439,5681,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),13349
D738,190,101,901,994,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2186
D739,510,78,2055,2552,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),5195
D740,5,0,8,13,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),26
D748,14,34,37,21,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),106
D749,69,235,341,192,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),837
D750,3,3,8,8,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),22
D751,111,198,1801,1715,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),3825
D752,620,268,2746,3106,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),6740
D758,1085,422,7794,8496,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),17797
D7581,0,0,1,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1
D759,1116,633,3403,5556,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),10708
D7591,0,0,1,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1
D760,526,220,417,735,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1898
D761,3428,1272,1474,3689,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),9863
D7611,0,0,5,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),5
D762,340,128,143,359,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),970
D763,437,164,289,567,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1457
D800,64,14,62,113,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),253
D801,432,61,2088,2463,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),5044
D802,70,10,165,227,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),472
D803,143,25,385,506,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1059
D804,18,5,39,52,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),114
D805,5,1,10,14,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),30
D806,4,2,9,12,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),27
D808,16,2,45,59,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),122
D809,128,15,347,464,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),954
D811,4,1,0,3,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),8
D812,3,0,0,3,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),6
D813,18,1,3,20,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),42
D814,2,0,0,2,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),4
D815,2,1,3,4,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),10
D816,2,0,6,8,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),16
D817,1,0,0,1,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2
D818,11,1,10,20,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),42
D819,289,64,208,439,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1000
D820,84,6,169,86,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),345
D821,278,108,733,913,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2032
D822,0,0,2,2,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),4
D823,81,34,53,101,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),269
D824,42,8,47,81,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),178
D828,2,1,1,1,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),5
D829,0,0,2,2,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),4
D830,0,0,2,2,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),4
D831,2,1,9,12,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),24
D832,1,0,2,3,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),6
D838,3,0,3,6,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),12
D839,548,91,843,1310,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2792
D8391,0,0,1,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1
D840,0,0,5,5,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),10
D841,258,52,291,508,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1109
D848,44,11,66,100,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),221
D849,4324,1144,8739,12642,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),26849
D8491,0,0,1,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1
D860,4070,1299,2474,5578,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),13421
D861,7,1,5,33,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),46
D862,18,1,17,9,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),45
D863,7,1,12,13,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),33
D868,2328,766,921,1793,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),5808
D869,15006,3976,16009,28226,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),63217
D8691,0,0,2,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2
D890,71,29,309,352,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),761
D891,456,129,824,1161,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),2570
D892,408,134,3546,3829,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),7917
D893,11,10,71,72,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),164
D898,94,44,471,522,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),1131
D899,3742,120,11308,15238,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),30408
D8991,0,0,3,0,hash,D50-D89,Other natural,D50-D89 (Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism),3
E000,1,0,0,1,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2
E002,0,0,1,1,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2
E009,14,2,21,33,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),70
E011,2,0,0,2,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),4
E012,2,0,1,3,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),6
E018,0,0,1,1,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2
E02,2,0,18,20,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),40
E030,3,0,9,10,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),22
E031,71,16,205,262,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),554
E032,4,3,40,41,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),88
E034,29,1,436,464,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),930
E035,1845,755,537,1597,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),4734
E038,8,1,38,45,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),92
E039,31259,1806,457017,488051,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),978133
E0391,0,0,1,0,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),1
E040,1,0,5,6,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),12
E041,101,18,1276,1407,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2802
E042,173,29,893,1128,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2223
E048,2,0,3,5,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),10
E049,726,78,3173,4075,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),8052
E050,987,186,4315,4969,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),10457
E0501,0,0,3,0,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),3
E051,8,0,43,4,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),55
E052,98,8,214,213,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),533
E055,739,222,226,751,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),1938
E0551,0,0,2,0,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2
E058,3,2,8,9,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),22
E059,4729,672,22971,28125,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),56497
E0591,0,0,5,0,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),5
E060,18,6,35,47,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),106
E061,2,2,5,5,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),14
E062,1,0,1,2,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),4
E063,388,151,2028,2278,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),4845
E064,0,0,6,6,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),12
E065,26,7,255,274,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),562
E069,69,10,575,647,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),1301
E070,3,0,3,6,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),12
E071,0,0,1,1,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),2
E078,17,46,248,219,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),530
E079,1389,266,10085,12008,hash,E00-E07,Endocrine,E00-E07 (Disorders of thyroid gland),23748
E100,643,5,205,12,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),865
E101,5470,19,1639,56,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),7184
E1011,0,0,8,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),8
E102,15653,4,10800,32,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),26489
E1021,0,0,8,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),8
E103,118,0,133,7,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),258
E104,958,4,1101,23,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2086
E1041,0,0,1,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),1
E105,5543,0,6294,12,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),11849
E106,482,1,314,15,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),812
E107,4004,2,1202,16,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),5224
E1071,0,0,2,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E108,9,3,3,6,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),21
E109,58203,11833,93546,188951,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),352533
E1091,0,0,8,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),8
E110,1508,7,1442,55,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),3012
E111,5145,5,8616,18,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),13784
E1111,0,0,2,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E112,135316,8,160727,331,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),296382
E1121,0,0,4,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),4
E113,213,0,722,17,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),952
E114,3797,5,11236,135,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),15173
E115,30662,8,57710,158,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),88538
E116,2955,0,2828,32,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),5815
E117,21560,0,8970,23,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),30553
E1171,0,0,2,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E118,21,6,14,25,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),66
E119,321873,33815,1130087,1828261,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),3314036
E1191,0,0,11,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),11
E120,4,0,17,1,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),22
E121,24,0,80,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),104
E122,107,1,315,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),423
E123,0,0,1,1,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E124,9,0,9,1,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),19
E125,24,0,84,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),108
E126,10,0,19,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),29
E127,19,0,30,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),49
E129,367,1,563,40,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),971
E130,3,0,4,6,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),13
E131,3,2,10,2,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),17
E132,14,0,45,2,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),61
E133,0,0,2,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E134,1,0,8,3,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),12
E135,3,0,14,1,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),18
E136,4,0,34,32,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),70
E137,3,0,9,1,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),13
E138,3,0,30,35,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),68
E139,55,3,883,1037,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),1978
E140,5126,2626,2916,3476,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),14144
E1401,0,0,2,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),2
E141,50865,31752,23374,37214,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),143205
E1411,0,0,29,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),29
E142,196655,1465,206030,27089,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),431239
E1421,0,0,7,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),7
E143,263,8,946,2006,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),3223
E144,4970,202,12674,12835,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),30681
E145,61601,756,93042,11465,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),166864
E146,5124,87,5565,1303,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),12079
E147,29606,22,13778,106,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),43512
E1471,0,0,8,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),8
E148,142,69,43,149,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),403
E149,729710,101384,2226787,3470066,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),6527947
E1491,0,0,31,0,hash,E10-E14,Endocrine,E10-E14 (Diabetes mellitus),31
E15,471,738,413,685,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),2307
E160,70,85,152,139,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),446
E161,55,47,207,224,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),533
E162,8174,10019,40952,39871,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),99016
E1621,0,0,1,0,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),1
E163,2,1,3,4,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),10
E164,128,40,246,335,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),749
E168,3,3,7,7,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),20
E169,12,2,115,127,hash,E15-E16,Endocrine,E15-E16 (Other disorders of glucose regulation and pancreatic internal secretion),256
E200,3,1,8,10,hash,E20,Endocrine,E20 (Hypoparathyroidism),22
E201,6,1,18,23,hash,E20,Endocrine,E20 (Hypoparathyroidism),48
E208,3,1,8,10,hash,E20,Endocrine,E20 (Hypoparathyroidism),22
E209,152,27,1079,1207,hash,E20,Endocrine,E20 (Hypoparathyroidism),2465
E210,324,56,768,1040,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),2188
E211,30,1,461,490,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),982
E212,5,1,36,41,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),83
E213,1631,229,9687,11110,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),22657
E214,3,3,8,8,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),22
E215,68,11,239,334,hash,E21,Endocrine,E21 (Hyperparathyroidism and other disorders of parathyroid gland),652
E220,235,75,600,765,hash,E22,Endocrine,E22 (Hyperfunction of pituitary gland),1675
E221,6,1,61,66,hash,E22,Endocrine,E22 (Hyperfunction of pituitary gland),134
E222,1274,349,8093,9037,hash,E22,Endocrine,E22 (Hyperfunction of pituitary gland),18753
E228,0,0,1,1,hash,E22,Endocrine,E22 (Hyperfunction of pituitary gland),2
E229,12,2,24,33,hash,E22,Endocrine,E22 (Hyperfunction of pituitary gland),71
E230,1591,554,6769,7858,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),16772
E231,3,0,4,6,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),13
E232,992,210,4043,4841,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),10086
E2321,0,0,1,0,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),1
E233,55,17,139,179,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),390
E236,128,69,257,324,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),778
E2361,0,0,2,0,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),2
E237,238,74,472,738,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),1522
E2371,0,0,1,0,hash,E23,Endocrine,E23 (Hypofunction and other disorders of pituitary gland),1
E240,15,8,51,58,hash,E240,Endocrine,E24.0 (Pituitary-dependent Cushing disease),132
E241,1,0,3,4,hash,E241,Endocrine,E24.1 (Nelson syndrome),8
E242,32,4,205,233,hash,E242,Endocrine,E24.2 (Drug-induced Cushing syndrome),474
E243,8,5,43,46,hash,E243,Endocrine,E24.3 (Ectopic ACTH syndrome),102
E248,2,2,17,17,hash,E248,Endocrine,E24.8 (Other Cushing syndrome),38
E249,457,153,1752,2096,hash,E249,Endocrine,"E24.9 (Cushing syndrome, unspecified)",4458
E250,160,65,171,271,hash,E25,Endocrine,E25 (Adrenogenital disorders),667
E258,1,1,0,0,hash,E25,Endocrine,E25 (Adrenogenital disorders),2
E259,4,2,19,22,hash,E25,Endocrine,E25 (Adrenogenital disorders),47
E260,49,3,123,170,hash,E26,Endocrine,E26 (Hyperaldosteronism),345
E261,2,2,23,23,hash,E26,Endocrine,E26 (Hyperaldosteronism),50
E268,52,18,70,105,hash,E26,Endocrine,E26 (Hyperaldosteronism),245
E269,94,11,392,478,hash,E26,Endocrine,E26 (Hyperaldosteronism),975
E2691,0,0,1,0,hash,E26,Endocrine,E26 (Hyperaldosteronism),1
E270,1,1,5,5,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),12
E271,2152,811,5714,7094,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),15771
E2711,0,0,2,0,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),2
E272,284,369,804,732,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),2189
E273,14,5,25,35,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),79
E274,2590,1249,19023,20568,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),43430
E275,5,2,33,36,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),76
E278,70,32,530,572,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),1204
E279,529,210,2989,3566,hash,E27,Endocrine,E27 (Other disorders of adrenal gland),7294
E280,1,0,2,3,hash,E28,Endocrine,E28 (Ovarian dysfunction),6
E281,0,0,3,3,hash,E28,Endocrine,E28 (Ovarian dysfunction),6
E282,34,4,351,381,hash,E28,Endocrine,E28 (Ovarian dysfunction),770
E283,11,2,42,51,hash,E28,Endocrine,E28 (Ovarian dysfunction),106
E288,0,0,2,2,hash,E28,Endocrine,E28 (Ovarian dysfunction),4
E289,3,2,3,4,hash,E28,Endocrine,E28 (Ovarian dysfunction),12
E290,0,0,9,9,hash,E29,Endocrine,E29 (Testicular dysfunction),18
E291,43,3,937,979,hash,E29,Endocrine,E29 (Testicular dysfunction),1962
E298,0,0,1,1,hash,E29,Endocrine,E29 (Testicular dysfunction),2
E299,1,0,4,5,hash,E29,Endocrine,E29 (Testicular dysfunction),10
E301,1,0,7,8,hash,E30,Endocrine,"E30 (Disorders of puberty, not elsewhere classified)",16
E309,1,0,8,9,hash,E30,Endocrine,"E30 (Disorders of puberty, not elsewhere classified)",18
E310,96,59,130,171,hash,E31,Endocrine,E31 (Polyglandular dysfunction),456
E311,0,0,1,1,hash,E31,Endocrine,E31 (Polyglandular dysfunction),2
E318,0,0,4,4,hash,E31,Endocrine,E31 (Polyglandular dysfunction),8
E319,5,6,13,12,hash,E31,Endocrine,E31 (Polyglandular dysfunction),36
E320,22,6,47,63,hash,E32,Endocrine,E32 (Diseases of thymus),138
E321,0,0,3,3,hash,E32,Endocrine,E32 (Diseases of thymus),6
E328,18,7,39,51,hash,E32,Endocrine,E32 (Diseases of thymus),115
E329,14,3,42,60,hash,E32,Endocrine,E32 (Diseases of thymus),119
E340,990,747,1104,1358,hash,E34,Endocrine,E34 (Other endocrine disorders),4199
E342,2,0,5,7,hash,E34,Endocrine,E34 (Other endocrine disorders),14
E343,187,77,749,871,hash,E34,Endocrine,E34 (Other endocrine disorders),1884
E345,5,4,3,4,hash,E34,Endocrine,E34 (Other endocrine disorders),16
E348,105,41,148,215,hash,E34,Endocrine,E34 (Other endocrine disorders),509
E349,84,55,182,386,hash,E34,Endocrine,E34 (Other endocrine disorders),707
E40,96,41,138,215,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),490
E41,1710,1950,6290,4235,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),14185
E42,22,12,35,32,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),101
E43,62496,46100,121529,139322,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),369447
E440,4105,3367,7515,8331,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),23318
E441,355,295,872,945,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),2467
E45,5044,1,6215,15,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),11275
E46,75588,112010,460235,439082,hash,E40-E46,Endocrine,E40-E46 (Malnutrition),1086915
E500,0,0,3,3,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),6
E505,0,0,1,1,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),2
E507,0,0,6,6,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),12
E509,0,0,16,16,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),32
E511,15,3,44,56,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),118
E512,1274,1261,2960,2991,hash,E50-E64,Endocrine,E50-E64 (Other nutritional deficiencies),8486
